INFO     ActorSystem Administrator startup @ ActorAddr-(T|:1900)
DEBUG    db-server-2 -Validation failed for clerk-5-trx-0 - Against earlier transactions - Prepare NO
DEBUG    db-server-3 received prepare request clerk-0-trx-0
DEBUG    db-server-3 Validation successful for clerk-0-trx-0 - Prepare OK
DEBUG    db-server-0 received prepare request clerk-5-trx-0
DEBUG    db-server-0 Validation successful for clerk-5-trx-0 - Prepare OK
DEBUG    db-server-3 received prepare request clerk-5-trx-0
DEBUG    db-server-0 received prepare request clerk-0-trx-0
DEBUG    db-server-3 -Validation failed for clerk-5-trx-0 - Against earlier transactions - Prepare NO
DEBUG    db-server-0 -Validation failed for clerk-0-trx-0 - Against later transactions - Prepare NO
DEBUG    db-server-1 received prepare request clerk-5-trx-0
DEBUG    db-server-1 Validation successful for clerk-5-trx-0 - Prepare OK
DEBUG    db-server-4 received prepare request clerk-0-trx-0
DEBUG    db-server-4 Validation successful for clerk-0-trx-0 - Prepare OK
DEBUG    clerk-5 -Aborting due to validation fail clerk-5-trx-0
DEBUG    clerk-5-trx-0 -false 
DEBUG    db-server-2 received prepare request clerk-0-trx-0
DEBUG    db-server-0 received abort request clerk-5-trx-0
DEBUG    db-server-1 received abort request clerk-5-trx-0
DEBUG    db-server-0 - Aborting transaction clerk-5-trx-0
DEBUG    db-server-2 Validation successful for clerk-0-trx-0 - Prepare OK
DEBUG    db-server-1 - Aborting transaction clerk-5-trx-0
DEBUG    db-server-0 - history is: SortedListWithKey([<thor.utils.Transaction object at 0x00000228673721D0>, <thor.utils.Transaction object at 0x0000022867372518>], key=<function Server.__init__.<locals>.<lambda> at 0x000002286733DD90>, load=1000)
DEBUG    db-server-1 - history is: SortedListWithKey([<thor.utils.Transaction object at 0x00000256D50D10B8>, <thor.utils.Transaction object at 0x00000256D50D1080>], key=<function Server.__init__.<locals>.<lambda> at 0x00000256D509DD90>, load=1000)
DEBUG    db-server-4 received prepare request clerk-2-trx-0
DEBUG    db-server-4 Validation successful for clerk-2-trx-0 - Prepare OK
DEBUG    db-server-1 received prepare request clerk-2-trx-0
DEBUG    db-server-1 Validation successful for clerk-2-trx-0 - Prepare OK
DEBUG    db-server-1 received prepare request clerk-0-trx-0
DEBUG    db-server-3 received prepare request clerk-2-trx-0
DEBUG    clerk-0 -Aborting due to validation fail clerk-0-trx-0
DEBUG    db-server-1 Validation successful for clerk-0-trx-0 - Prepare OK
DEBUG    db-server-3 Validation successful for clerk-2-trx-0 - Prepare OK
DEBUG    clerk-0-trx-0 -false 
DEBUG    db-server-2 received abort request clerk-0-trx-0
DEBUG    db-server-4 received abort request clerk-0-trx-0
DEBUG    db-server-1 received abort request clerk-0-trx-0
DEBUG    db-server-3 received abort request clerk-0-trx-0
DEBUG    db-server-2 - Aborting transaction clerk-0-trx-0
DEBUG    db-server-4 - Aborting transaction clerk-0-trx-0
DEBUG    db-server-1 - Aborting transaction clerk-0-trx-0
DEBUG    db-server-3 - Aborting transaction clerk-0-trx-0
DEBUG    db-server-4 - history is: SortedListWithKey([<thor.utils.Transaction object at 0x0000015FB35FB550>, <thor.utils.Transaction object at 0x0000015FB35FBE10>, <thor.utils.Transaction object at 0x0000015FB3612240>], key=<function Server.__init__.<locals>.<lambda> at 0x0000015FB35DDD90>, load=1000)
DEBUG    db-server-1 - history is: SortedListWithKey([<thor.utils.Transaction object at 0x00000256D50D10B8>, <thor.utils.Transaction object at 0x00000256D50D1AC8>, <thor.utils.Transaction object at 0x00000256D50D18D0>], key=<function Server.__init__.<locals>.<lambda> at 0x00000256D509DD90>, load=1000)
DEBUG    db-server-2 - history is: SortedListWithKey([<thor.utils.Transaction object at 0x0000019205C51080>, <thor.utils.Transaction object at 0x0000019205C516D8>], key=<function Server.__init__.<locals>.<lambda> at 0x0000019205C1DD90>, load=1000)
DEBUG    db-server-3 - history is: SortedListWithKey([<thor.utils.Transaction object at 0x0000014A45422128>, <thor.utils.Transaction object at 0x0000014A454226A0>, <thor.utils.Transaction object at 0x0000014A45422358>], key=<function Server.__init__.<locals>.<lambda> at 0x0000014A453EDD90>, load=1000)
DEBUG    db-server-0 received prepare request clerk-2-trx-0
DEBUG    db-server-0 Validation successful for clerk-2-trx-0 - Prepare OK
DEBUG    db-server-2 received prepare request clerk-2-trx-0
DEBUG    db-server-2 Validation successful for clerk-2-trx-0 - Prepare OK
DEBUG    clerk-2 -Received all prepare ok and sending commit to dict_keys(['db-server-4', 'db-server-1', 'db-server-3', 'db-server-0', 'db-server-2']) 
DEBUG    db-server-2 received prepare request clerk-8-trx-0
DEBUG    db-server-2 Validation successful for clerk-8-trx-0 - Prepare OK
DEBUG    db-server-4 received prepare request clerk-8-trx-0
DEBUG    db-server-4 Validation successful for clerk-8-trx-0 - Prepare OK
DEBUG    db-server-3 received prepare request clerk-8-trx-0
DEBUG    db-server-3 Validation successful for clerk-8-trx-0 - Prepare OK
DEBUG    db-server-0 received prepare request clerk-8-trx-0
DEBUG    db-server-0 Validation successful for clerk-8-trx-0 - Prepare OK
DEBUG    clerk-8 -Received all prepare ok and sending commit to dict_keys(['db-server-2', 'db-server-4', 'db-server-3', 'db-server-0']) 
DEBUG    db-server-2 received prepare request clerk-7-trx-0
DEBUG    db-server-2 Validation successful for clerk-7-trx-0 - Prepare OK
DEBUG    db-server-0 received prepare request clerk-7-trx-0
DEBUG    db-server-0 Validation successful for clerk-7-trx-0 - Prepare OK
DEBUG    db-server-1 received prepare request clerk-7-trx-0
DEBUG    db-server-1 Validation successful for clerk-7-trx-0 - Prepare OK
DEBUG    db-server-3 received prepare request clerk-7-trx-0
DEBUG    db-server-3 Validation successful for clerk-7-trx-0 - Prepare OK
DEBUG    clerk-6 -Starting read for: dict_keys([])
DEBUG    clerk-6 -Sending reads to dict_keys([]) 
DEBUG    db-server-4 received prepare request clerk-7-trx-0
DEBUG    db-server-4 Validation successful for clerk-7-trx-0 - Prepare OK
DEBUG    clerk-7 -Received all prepare ok and sending commit to dict_keys(['db-server-2', 'db-server-0', 'db-server-1', 'db-server-3', 'db-server-4']) 
DEBUG    db-server-4 received commit request clerk-4-trx-0
DEBUG    db-server-4 -Committing clerk-4-trx-0 with 
read_set: dict_keys([69, 14, 19, 89])
write_set: dict_keys([19])
DEBUG    clerk-4 -Received cache invalidation for 19
DEBUG    clerk-1 -Received cache invalidation for 19
DEBUG    db-server-4 -Sending cache invalidation for 19
DEBUG    db-server-4 -Sending cache invalidation for 19
DEBUG    db-server-2 received commit request clerk-4-trx-0
DEBUG    db-server-3 received commit request clerk-4-trx-0
DEBUG    db-server-3 -Committing clerk-4-trx-0 with 
read_set: dict_keys([28])
write_set: dict_keys([])
DEBUG    db-server-2 -Committing clerk-4-trx-0 with 
read_set: dict_keys([97, 52, 27])
write_set: dict_keys([97])
DEBUG    clerk-4 -Received cache invalidation for 97
DEBUG    clerk-5 -Received cache invalidation for 97
DEBUG    db-server-2 -Sending cache invalidation for 97
DEBUG    db-server-2 -Sending cache invalidation for 97
DEBUG    db-server-1 received commit request clerk-4-trx-0
DEBUG    db-server-0 received commit request clerk-4-trx-0
DEBUG    db-server-1 -Committing clerk-4-trx-0 with 
read_set: dict_keys([41])
write_set: dict_keys([41])
DEBUG    clerk-6 -Received cache invalidation for 41
DEBUG    clerk-4 -Received cache invalidation for 41
DEBUG    db-server-0 -Committing clerk-4-trx-0 with 
read_set: dict_keys([75])
write_set: dict_keys([])
DEBUG    db-server-1 -Sending cache invalidation for 41
DEBUG    db-server-1 -Sending cache invalidation for 41
DEBUG    clerk-4 -Committed clerk-4-trx-0 
DEBUG    clerk-4-trx-0 -true
DEBUG    clerk-1 -Starting read for: dict_keys([19])
DEBUG    clerk-1 -Sending reads to dict_keys(['db-server-4']) 
DEBUG    clerk-5 -Starting read for: dict_keys([97])
DEBUG    clerk-5 -Sending reads to dict_keys(['db-server-2']) 
DEBUG    clerk-0 -Starting read for: dict_keys([])
DEBUG    clerk-0 -Sending reads to dict_keys([]) 
DEBUG    db-server-4 received commit request clerk-2-trx-0
DEBUG    db-server-4 -Committing clerk-2-trx-0 with 
read_set: dict_keys([14, 84])
write_set: dict_keys([84])
DEBUG    clerk-2 -Received cache invalidation for 84
DEBUG    db-server-4 -Sending cache invalidation for 84
DEBUG    db-server-1 received commit request clerk-2-trx-0
DEBUG    db-server-1 -Committing clerk-2-trx-0 with 
read_set: dict_keys([16])
write_set: dict_keys([])
DEBUG    db-server-3 received commit request clerk-2-trx-0
DEBUG    db-server-3 -Committing clerk-2-trx-0 with 
read_set: dict_keys([38, 18])
write_set: dict_keys([])
DEBUG    db-server-0 received commit request clerk-2-trx-0
DEBUG    clerk-6 -Received cache invalidation for 25
DEBUG    clerk-1 -Received cache invalidation for 25
DEBUG    db-server-2 received commit request clerk-2-trx-0
DEBUG    clerk-2 -Received cache invalidation for 25
DEBUG    db-server-0 -Committing clerk-2-trx-0 with 
read_set: dict_keys([70, 80, 50, 25])
write_set: dict_keys([25])
DEBUG    db-server-0 -Sending cache invalidation for 25
DEBUG    db-server-0 -Sending cache invalidation for 25
DEBUG    db-server-0 -Sending cache invalidation for 25
DEBUG    db-server-2 -Committing clerk-2-trx-0 with 
read_set: dict_keys([87])
write_set: dict_keys([87])
DEBUG    clerk-2 -Received cache invalidation for 87
DEBUG    db-server-2 -Sending cache invalidation for 87
DEBUG    clerk-2 -Committed clerk-2-trx-0 
DEBUG    clerk-2-trx-0 -true
DEBUG    db-server-2 received commit request clerk-8-trx-0
DEBUG    db-server-2 -Committing clerk-8-trx-0 with 
read_set: dict_keys([67, 7, 72, 42, 17])
write_set: dict_keys([67])
DEBUG    clerk-8 -Received cache invalidation for 67
DEBUG    db-server-4 received commit request clerk-8-trx-0
DEBUG    db-server-2 -Sending cache invalidation for 67
DEBUG    db-server-4 -Committing clerk-8-trx-0 with 
read_set: dict_keys([59])
write_set: dict_keys([])
DEBUG    db-server-3 received commit request clerk-8-trx-0
DEBUG    clerk-6 -Received cache invalidation for 78
DEBUG    db-server-3 -Committing clerk-8-trx-0 with 
read_set: dict_keys([78, 63])
write_set: dict_keys([78, 63])
DEBUG    clerk-8 -Received cache invalidation for 78
DEBUG    db-server-3 -Sending cache invalidation for 78
DEBUG    db-server-0 received commit request clerk-8-trx-0
DEBUG    db-server-3 -Sending cache invalidation for 78
DEBUG    db-server-0 -Committing clerk-8-trx-0 with 
read_set: dict_keys([100, 90])
write_set: dict_keys([])
DEBUG    clerk-8 -Received cache invalidation for 63
DEBUG    db-server-3 -Sending cache invalidation for 63
DEBUG    clerk-8 -Committed clerk-8-trx-0 
DEBUG    clerk-8-trx-0 -true
DEBUG    db-server-2 received commit request clerk-7-trx-0
DEBUG    db-server-2 -Committing clerk-7-trx-0 with 
read_set: dict_keys([7, 62])
write_set: dict_keys([62])
DEBUG    clerk-7 -Received cache invalidation for 62
DEBUG    db-server-2 -Sending cache invalidation for 62
DEBUG    db-server-0 received commit request clerk-7-trx-0
DEBUG    db-server-0 -Committing clerk-7-trx-0 with 
read_set: dict_keys([10])
write_set: dict_keys([])
DEBUG    db-server-1 received commit request clerk-7-trx-0
DEBUG    db-server-1 -Committing clerk-7-trx-0 with 
read_set: dict_keys([11, 56])
write_set: dict_keys([])
DEBUG    db-server-3 received commit request clerk-7-trx-0
DEBUG    db-server-4 received commit request clerk-7-trx-0
DEBUG    clerk-1 -Received cache invalidation for 39
DEBUG    clerk-3 -Received cache invalidation for 13
DEBUG    clerk-5 -Received cache invalidation for 13
DEBUG    db-server-3 -Committing clerk-7-trx-0 with 
read_set: dict_keys([33, 13, 58])
write_set: dict_keys([13])
DEBUG    clerk-7 -Received cache invalidation for 13
DEBUG    db-server-4 -Committing clerk-7-trx-0 with 
read_set: dict_keys([64, 39])
write_set: dict_keys([39])
DEBUG    db-server-3 -Sending cache invalidation for 13
DEBUG    clerk-7 -Received cache invalidation for 39
DEBUG    db-server-4 -Sending cache invalidation for 39
DEBUG    clerk-7 -Committed clerk-7-trx-0 
DEBUG    db-server-3 -Sending cache invalidation for 13
DEBUG    db-server-4 -Sending cache invalidation for 39
DEBUG    clerk-7-trx-0 -true
DEBUG    db-server-3 -Sending cache invalidation for 13
WARNING  Actor thor.clerk.Clerk @ ActorAddr-(T|:64453) retryable exception on message <thor.actors.Server.CacheInvalidate object at 0x000001D78356B240>
Traceback (most recent call last):

  File "C:\Python\lib\site-packages\thespian\system\actorManager.py", line 155, in _handleOneMessage
    actor_result = self.actorInst.receiveMessage(msg, envelope.sender)

  File "C:\Users\bsahi\PycharmProjects\compsci512-fall17-project\thor\clerk.py", line 72, in receiveMessage
    self.object_cache.pop(msg.oid)

KeyError: 13

DEBUG    clerk-3 -Received cache invalidation for 13
ERROR    Actor thor.clerk.Clerk @ ActorAddr-(T|:64453) second exception on message <thor.actors.Server.CacheInvalidate object at 0x000001D78356B240>
Traceback (most recent call last):

  File "C:\Python\lib\site-packages\thespian\system\actorManager.py", line 155, in _handleOneMessage
    actor_result = self.actorInst.receiveMessage(msg, envelope.sender)

  File "C:\Users\bsahi\PycharmProjects\compsci512-fall17-project\thor\clerk.py", line 72, in receiveMessage
    self.object_cache.pop(msg.oid)

KeyError: 13


During handling of the above exception, another exception occurred:


Traceback (most recent call last):

  File "C:\Python\lib\site-packages\thespian\system\actorManager.py", line 170, in _handleOneMessage
    actor_result = self.actorInst.receiveMessage(copy.deepcopy(msg), envelope.sender)

  File "C:\Users\bsahi\PycharmProjects\compsci512-fall17-project\thor\clerk.py", line 72, in receiveMessage
    self.object_cache.pop(msg.oid)

KeyError: 13

DEBUG    clerk-6 -Read finished for clerk-6-trx-1
DEBUG    clerk-1 -Read finished for clerk-1-trx-1
DEBUG    clerk-1 -updating cache with answer {19: (4, 1)}
DEBUG    clerk-0 -Read finished for clerk-0-trx-1
DEBUG    clerk-0 -Committing clerk-0-trx-1
DEBUG    clerk-0 -Sending prepare to dict_keys(['db-server-3', 'db-server-0', 'db-server-4', 'db-server-2', 'db-server-1']) 
DEBUG    clerk-5 -Read finished for clerk-5-trx-1
DEBUG    clerk-5 -updating cache with answer {97: (4, 1)}
DEBUG    clerk-6 -Starting read for: dict_keys([41, 78, 25])
DEBUG    clerk-6 -Sending reads to dict_keys(['db-server-0', 'db-server-1', 'db-server-3']) 
DEBUG    clerk-1 -Starting read for: dict_keys([39, 25])
DEBUG    clerk-1 -Sending reads to dict_keys(['db-server-0', 'db-server-4']) 
DEBUG    db-server-3 received prepare request clerk-0-trx-1
DEBUG    db-server-3 Validation successful for clerk-0-trx-1 - Prepare OK
DEBUG    db-server-0 received prepare request clerk-0-trx-1
DEBUG    db-server-0 Validation successful for clerk-0-trx-1 - Prepare OK
DEBUG    db-server-4 received prepare request clerk-0-trx-1
DEBUG    db-server-4 Validation successful for clerk-0-trx-1 - Prepare OK
DEBUG    db-server-2 received prepare request clerk-0-trx-1
DEBUG    db-server-2 Validation successful for clerk-0-trx-1 - Prepare OK
DEBUG    db-server-1 received prepare request clerk-0-trx-1
DEBUG    db-server-1 Validation successful for clerk-0-trx-1 - Prepare OK
DEBUG    clerk-0 -Received all prepare ok and sending commit to dict_keys(['db-server-3', 'db-server-0', 'db-server-4', 'db-server-2', 'db-server-1']) 
DEBUG    clerk-5 -Starting read for: dict_keys([13])
DEBUG    clerk-5 -Sending reads to dict_keys(['db-server-3']) 
DEBUG    db-server-3 received commit request clerk-0-trx-1
DEBUG    clerk-1 -Read finished for clerk-1-trx-2
DEBUG    db-server-3 -Committing clerk-0-trx-1 with 
read_set: dict_keys([3, 73, 48])
write_set: dict_keys([])
DEBUG    clerk-1 -updating cache with answer {25: (2, 1)}
DEBUG    clerk-1 -updating cache with answer {39: (7, 1)}
DEBUG    clerk-1 -Committing clerk-1-trx-2
DEBUG    clerk-1 -Sending prepare to dict_keys(['db-server-0', 'db-server-4', 'db-server-2', 'db-server-1']) 
DEBUG    clerk-6 -Read finished for clerk-6-trx-2
